ESTACION,MAGNITUD,TECNICA,HORARIO,ANIO,MES,DIA,HORA1,HORA2,HORA3,HORA4,HORA5,HORA6,HORA7,HORA8,HORA9,HORA10,HORA11,HORA12,HORA13,HORA14,HORA15,HORA16,HORA17,HORA18,HORA19,HORA20,HORA21,HORA22,HORA23,HORA24
28079004,82,98,02,2016,10,12,00224,00261,00288,00269,00263,00261,00257,00246,00160,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079004,83,98,02,2016,10,12,016.7,016.5,015.8,015.6,015.9,015.9,015.0,014.1,013.6,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079004,86,98,02,2016,10,12,00060,00061,00065,00067,00067,00068,00079,00090,00092,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079004,89,98,02,2016,10,12,00.00,00.00,00.00,00.00,00.00,00.00,01.00,02.50,01.00,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079008,01,38,02,2016,10,12,00009,00010,00010,00010,00009,00009,00009,00009,00009,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079008,06,48,02,2016,10,12,000.3,000.3,000.2,000.3,000.2,000.2,000.2,000.2,000.2,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079008,07,08,02,2016,10,12,00010,00006,00008,00009,00006,00003,00005,00002,00002,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079008,08,08,02,2016,10,12,00046,00043,00044,00039,00031,00022,00028,00028,00027,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079008,09,47,02,2016,10,12,00012,00012,00019,00018,00017,00009,00002,00011,00012,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079008,10,47,02,2016,10,12,00023,00021,00030,00030,00030,00021,00010,00019,00016,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079008,12,08,02,2016,10,12,00061,00052,00057,00053,00040,00027,00035,00032,00029,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079008,14,06,02,2016,10,12,00066,00059,00049,00051,00057,00067,00057,00048,00053,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079008,20,59,02,2016,10,12,001.4,001.2,001.5,001.4,001.3,000.8,000.9,000.9,001.2,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079008,30,59,02,2016,10,12,000.6,000.6,000.7,000.6,000.5,000.3,000.4,000.4,000.4,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079008,35,59,02,2016,10,12,000.2,000.2,000.2,000.2,000.2,000.1,000.1,000.1,000.1,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079008,42,02,02,2016,10,12,01.58,01.60,01.69,01.64,01.60,01.59,01.59,01.59,01.58,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079008,43,02,02,2016,10,12,01.47,01.49,01.58,01.53,01.50,01.51,01.50,01.50,01.49,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079008,44,02,02,2016,10,12,00.11,00.11,00.12,00.12,00.10,00.08,00.09,00.09,00.10,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079011,07,08,02,2016,10,12,00002,00001,00004,00003,00001,00005,00002,00006,00007,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079011,08,08,02,2016,10,12,00019,00019,00037,00027,00012,00023,00015,00022,00028,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079011,12,08,02,2016,10,12,00022,00021,00043,00031,00014,00030,00018,00031,00039,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079011,20,59,02,2016,10,12,003.2,004.1,003.9,004.6,003.5,003.5,003.7,002.1,003.7,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079011,30,59,02,2016,10,12,000.8,000.9,001.2,001.7,001.1,000.9,001.3,001.0,001.4,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079011,35,59,02,2016,10,12,000.4,000.7,000.3,000.5,000.3,000.2,000.4,000.3,000.4,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079011,89,98,02,2016,10,12,00.00,00.00,00.00,00.00,00.00,00.00,00.50,05.00,01.00,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079016,06,48,02,2016,10,12,000.3,000.3,000.3,000.3,000.2,000.2,000.2,000.2,000.2,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079016,07,08,02,2016,10,12,00001,00001,00002,00001,00001,00001,00001,00002,00002,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079016,08,08,02,2016,10,12,00032,00039,00027,00020,00018,00015,00016,00017,00025,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079016,12,08,02,2016,10,12,00034,00041,00030,00021,00020,00017,00018,00020,00028,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079016,14,06,02,2016,10,12,00065,00054,00057,00062,00062,00065,00061,00040,00035,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079016,89,98,02,2016,10,12,00.00,00.00,00.00,00.00,00.00,00.00,00.50,03.50,01.00,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079017,01,38,02,2016,10,12,00011,00011,00012,00011,00011,00011,00011,00011,00011,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079017,07,08,02,2016,10,12,00003,00001,00001,00001,00001,00001,00002,00001,00001,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079017,08,08,02,2016,10,12,00037,00037,00022,00016,00008,00014,00015,00015,00024,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079017,12,08,02,2016,10,12,00042,00038,00024,00018,00010,00016,00017,00016,00026,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
