idelem,tipo_elem,identif,nombre,north, east, zone, longitude, latitude,,,,
5419,PUNTOS DE MEDIDA URBANOS,"43006",AV.MONFORTE DE LEMOS O-E(PL.ARTEIJO-GINZO DE LIMIA),448137151698998.00,440277828828504.00,31,54.679.707.943.992,-11.928.715.992.582,,,,
5420,PUNTOS DE MEDIDA URBANOS,"43008",AV.MONFORTE DE LEMOS E-O(FINISTERRE-GINZO DE LIMIA),448144209052731.00,440525619746967.00,31,-19.789.696.507.818,-45.102.205.075.226,,,,
5418,PUNTOS DE MEDIDA URBANOS,"43005",AV.MONFORTE DE LEMOS E-O(PL.ARTEIJO-PL.FONSAGRADA),448135318287203.00,440159363857155.00,31,-65.133.948.767.001,18.016.671.420.563,,,,
7029,PUNTOS DE MEDIDA URBANOS,"1012", P∫ Recoletos  N-S -  (PL. Colon-B·rbara Braganza),447527977323341.00,441510905106017.00,31,38.754.297.699.496,83.670.055.207.449,,,,
4192,PUNTOS DE MEDIDA URBANOS,"2016",Dr. Esquerdo N-S - Angel Ganivet-Av. Mediterraneo,447349463091626.00,443247618984551.00,31,39.376.603.457.230,19.451.064.206.920,,,,
3934,PUNTOS DE MEDIDA URBANOS,"5006",Concha Espina. 39 O-E - Pl. Sagrados Corazone-Serrano,447832589170128.00,442168423651791.00,31,-29.745.996.803.442,-90.437.577.659.247,,,,
7037,PUNTOS DE MEDIDA URBANOS,"8014",Goya. 43 E-O - NuÒez de Balboa-Velazquez,447537818714796.00,442180948919299.00,31,26.487.578.773.718,65.776.302.868.709,,,,
5082,PUNTOS DE MEDIDA URBANOS,"8016",Goya E-O - General PardiÒas-Principe de Vergara,447535305186145.00,442528679838465.00,31,39.296.745.599.223,26.074.241.264.706,,,,
4016,PUNTOS DE MEDIDA URBANOS,"8017",Jose Ortega y Gasset O-E - NuÒez de Balboa-Castello,447594126259645.00,442234239212366.00,31,12.408.944.915.175,28.775.254.787.574,,,,
4017,PUNTOS DE MEDIDA URBANOS,"8018",Jose Ortega y Gasset E-O - NuÒez de Balboa-Velazquez,447594510797604.00,442213130324691.00,31,-95.471.048.447.936,31.500.543.966.994,,,,
4018,PUNTOS DE MEDIDA URBANOS,"9001",Lateral M-30 N-S - Salida Puente Ventas-Pl. Toros,447616121434151.00,444046807276126.00,31,24.955.060.169.556,57.068.327.070.503,,,,
4043,PUNTOS DE MEDIDA URBANOS,"9029",Principe de Vergara S-N - Jorge Juan-Goya,447522083314491.00,442406416065004.00,31,-54.561.091.984.392,15.496.821.280.876,,,,
7041,PUNTOS DE MEDIDA URBANOS,"13025",P∫ del Prado N-S - Zorrilla-Plaza de las Cortes,447451022480966.00,441211322592818.00,31,-38.344.927.384.492,13.661.237.932.642,,,,
4400,PUNTOS DE MEDIDA URBANOS,"18009",Carranza O-E - San Bernardo -Fuencarral,44758589526259.00,440343386653338.00,31,-37.823.210.159.352,-62.602.859.137.580,,,,
4387,PUNTOS DE MEDIDA URBANOS,"18010",Conde Duque. 13 S-N - Sta Cruz de Marcenado-Alberto Aguilera,447582511094702.00,439936781169851.00,31,-49.130.445.558.234,13.993.352.041.960,,,,
4388,PUNTOS DE MEDIDA URBANOS,"18011",Alberto Aguilera E-O - Vallehermoso-Galileo,447593836932317.00,439895524161599.00,31,-15.070.503.549.312,-48.802.944.470.216,,,,
4385,PUNTOS DE MEDIDA URBANOS,"18007",Alberto Aguilera O-E - Princesa-Serrano Jover,447599667213234.00,439415464454646.00,31,-71.828.182.601.102,19.622.815.347.602,,,,
4386,PUNTOS DE MEDIDA URBANOS,"18008", Alberto Aguilera O-E - Conde Duque-Acuerdo,447590413050442.00,44006937734256.00,31,46.741.072.744.387,10.905.636.941.948,,,,
4680,PUNTOS DE MEDIDA URBANOS,"35047",Puente de la Paz E-O - Av.Donostiarra-Av.Brasilia,447711057855599.00,444137815184885.00,31,-89.978.558.306.174,-20.129.155.854.984,,,,
4687,PUNTOS DE MEDIDA URBANOS,"35057",Poeta Claudio Rodriguez S-N  - Clara del Rey-CorazÛn de Maria,4477106123215.00,443163758814779.00,31,-92.926.413.240.283,30.657.366.170.478,,,,
